"TestIndex","TestId","ManifoldId","Run","Pass","Symbol","MarketGroup","Segment","FromDate","ToDate","SetFile","Report","ExpectedReport","IsUS100"
"1","0001_RUN3_Pass1483_EURUSD_IS","RUN3_Pass1483","RUN3","1483","EURUSD","FX","IS","2000.01.01","2012.01.01","ImpulseContinuation_ExpandedBasket_RUN3_Pass1483.set","reports\expanded_basket\EURUSD_D1StopLossSplit_RUN3_Pass1483_IS_20000101_20120101.xml","reports\expanded_basket\EURUSD_D1StopLossSplit_RUN3_Pass1483_IS_20000101_20120101.xml.htm","False"
"2","0002_RUN3_Pass1483_EURUSD_VAL","RUN3_Pass1483","RUN3","1483","EURUSD","FX","VAL","2012.01.01","2018.01.01","ImpulseContinuation_ExpandedBasket_RUN3_Pass1483.set","reports\expanded_basket\EURUSD_D1StopLossSplit_RUN3_Pass1483_VAL_20120101_20180101.xml","reports\expanded_basket\EURUSD_D1StopLossSplit_RUN3_Pass1483_VAL_20120101_20180101.xml.htm","False"
"3","0003_RUN3_Pass1483_EURUSD_OOS","RUN3_Pass1483","RUN3","1483","EURUSD","FX","OOS","2018.01.01","2026.05.31","ImpulseContinuation_ExpandedBasket_RUN3_Pass1483.set","reports\expanded_basket\EURUSD_D1StopLossSplit_RUN3_Pass1483_OOS_20180101_20260531.xml","reports\expanded_basket\EURUSD_D1StopLossSplit_RUN3_Pass1483_OOS_20180101_20260531.xml.htm","False"
"4","0004_RUN3_Pass1483_GBPUSD_IS","RUN3_Pass1483","RUN3","1483","GBPUSD","FX","IS","2000.01.01","2012.01.01","ImpulseContinuation_ExpandedBasket_RUN3_Pass1483.set","reports\expanded_basket\GBPUSD_D1StopLossSplit_RUN3_Pass1483_IS_20000101_20120101.xml","reports\expanded_basket\GBPUSD_D1StopLossSplit_RUN3_Pass1483_IS_20000101_20120101.xml.htm","False"
"5","0005_RUN3_Pass1483_GBPUSD_VAL","RUN3_Pass1483","RUN3","1483","GBPUSD","FX","VAL","2012.01.01","2018.01.01","ImpulseContinuation_ExpandedBasket_RUN3_Pass1483.set","reports\expanded_basket\GBPUSD_D1StopLossSplit_RUN3_Pass1483_VAL_20120101_20180101.xml","reports\expanded_basket\GBPUSD_D1StopLossSplit_RUN3_Pass1483_VAL_20120101_20180101.xml.htm","False"
"6","0006_RUN3_Pass1483_GBPUSD_OOS","RUN3_Pass1483","RUN3","1483","GBPUSD","FX","OOS","2018.01.01","2026.05.31","ImpulseContinuation_ExpandedBasket_RUN3_Pass1483.set","reports\expanded_basket\GBPUSD_D1StopLossSplit_RUN3_Pass1483_OOS_20180101_20260531.xml","reports\expanded_basket\GBPUSD_D1StopLossSplit_RUN3_Pass1483_OOS_20180101_20260531.xml.htm","False"
"7","0007_RUN3_Pass1483_USDJPY_IS","RUN3_Pass1483","RUN3","1483","USDJPY","FX","IS","2000.01.01","2012.01.01","ImpulseContinuation_ExpandedBasket_RUN3_Pass1483.set","reports\expanded_basket\USDJPY_D1StopLossSplit_RUN3_Pass1483_IS_20000101_20120101.xml","reports\expanded_basket\USDJPY_D1StopLossSplit_RUN3_Pass1483_IS_20000101_20120101.xml.htm","False"
"8","0008_RUN3_Pass1483_USDJPY_VAL","RUN3_Pass1483","RUN3","1483","USDJPY","FX","VAL","2012.01.01","2018.01.01","ImpulseContinuation_ExpandedBasket_RUN3_Pass1483.set","reports\expanded_basket\USDJPY_D1StopLossSplit_RUN3_Pass1483_VAL_20120101_20180101.xml","reports\expanded_basket\USDJPY_D1StopLossSplit_RUN3_Pass1483_VAL_20120101_20180101.xml.htm","False"
"9","0009_RUN3_Pass1483_USDJPY_OOS","RUN3_Pass1483","RUN3","1483","USDJPY","FX","OOS","2018.01.01","2026.05.31","ImpulseContinuation_ExpandedBasket_RUN3_Pass1483.set","reports\expanded_basket\USDJPY_D1StopLossSplit_RUN3_Pass1483_OOS_20180101_20260531.xml","reports\expanded_basket\USDJPY_D1StopLossSplit_RUN3_Pass1483_OOS_20180101_20260531.xml.htm","False"
"10","0010_RUN3_Pass1483_EURJPY_IS","RUN3_Pass1483","RUN3","1483","EURJPY","FX","IS","2000.01.01","2012.01.01","ImpulseContinuation_ExpandedBasket_RUN3_Pass1483.set","reports\expanded_basket\EURJPY_D1StopLossSplit_RUN3_Pass1483_IS_20000101_20120101.xml","reports\expanded_basket\EURJPY_D1StopLossSplit_RUN3_Pass1483_IS_20000101_20120101.xml.htm","False"
"11","0011_RUN3_Pass1483_EURJPY_VAL","RUN3_Pass1483","RUN3","1483","EURJPY","FX","VAL","2012.01.01","2018.01.01","ImpulseContinuation_ExpandedBasket_RUN3_Pass1483.set","reports\expanded_basket\EURJPY_D1StopLossSplit_RUN3_Pass1483_VAL_20120101_20180101.xml","reports\expanded_basket\EURJPY_D1StopLossSplit_RUN3_Pass1483_VAL_20120101_20180101.xml.htm","False"
"12","0012_RUN3_Pass1483_EURJPY_OOS","RUN3_Pass1483","RUN3","1483","EURJPY","FX","OOS","2018.01.01","2026.05.31","ImpulseContinuation_ExpandedBasket_RUN3_Pass1483.set","reports\expanded_basket\EURJPY_D1StopLossSplit_RUN3_Pass1483_OOS_20180101_20260531.xml","reports\expanded_basket\EURJPY_D1StopLossSplit_RUN3_Pass1483_OOS_20180101_20260531.xml.htm","False"
