"TestIndex","TestId","Pass","Symbol","MarketGroup","Segment","FromDate","ToDate","SetFile","Report","ExpectedReport"
"1","0001_Pass3441_EURUSD_IS","3441","EURUSD","FX","IS","2000.01.01","2012.01.01","ImpulseContinuation_EURUSD_Funded_Pass3441.set","reports\funded_cross_symbol\EURUSD_D1StopLossSplit_Funded_Pass3441_IS_20000101_20120101.xml","reports\funded_cross_symbol\EURUSD_D1StopLossSplit_Funded_Pass3441_IS_20000101_20120101.xml.htm"
"2","0002_Pass3441_EURUSD_VAL","3441","EURUSD","FX","VAL","2012.01.01","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass3441.set","reports\funded_cross_symbol\EURUSD_D1StopLossSplit_Funded_Pass3441_VAL_20120101_20180101.xml","reports\funded_cross_symbol\EURUSD_D1StopLossSplit_Funded_Pass3441_VAL_20120101_20180101.xml.htm"
"3","0003_Pass3441_EURUSD_OOS","3441","EURUSD","FX","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass3441.set","reports\funded_cross_symbol\EURUSD_D1StopLossSplit_Funded_Pass3441_OOS_20180101_20260601.xml","reports\funded_cross_symbol\EURUSD_D1StopLossSplit_Funded_Pass3441_OOS_20180101_20260601.xml.htm"
"4","0004_Pass3441_GBPUSD_IS","3441","GBPUSD","FX","IS","2000.01.01","2012.01.01","ImpulseContinuation_EURUSD_Funded_Pass3441.set","reports\funded_cross_symbol\GBPUSD_D1StopLossSplit_Funded_Pass3441_IS_20000101_20120101.xml","reports\funded_cross_symbol\GBPUSD_D1StopLossSplit_Funded_Pass3441_IS_20000101_20120101.xml.htm"
"5","0005_Pass3441_GBPUSD_VAL","3441","GBPUSD","FX","VAL","2012.01.01","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass3441.set","reports\funded_cross_symbol\GBPUSD_D1StopLossSplit_Funded_Pass3441_VAL_20120101_20180101.xml","reports\funded_cross_symbol\GBPUSD_D1StopLossSplit_Funded_Pass3441_VAL_20120101_20180101.xml.htm"
"6","0006_Pass3441_GBPUSD_OOS","3441","GBPUSD","FX","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass3441.set","reports\funded_cross_symbol\GBPUSD_D1StopLossSplit_Funded_Pass3441_OOS_20180101_20260601.xml","reports\funded_cross_symbol\GBPUSD_D1StopLossSplit_Funded_Pass3441_OOS_20180101_20260601.xml.htm"
"7","0007_Pass3441_USDJPY_IS","3441","USDJPY","FX","IS","2000.01.01","2012.01.01","ImpulseContinuation_EURUSD_Funded_Pass3441.set","reports\funded_cross_symbol\USDJPY_D1StopLossSplit_Funded_Pass3441_IS_20000101_20120101.xml","reports\funded_cross_symbol\USDJPY_D1StopLossSplit_Funded_Pass3441_IS_20000101_20120101.xml.htm"
"8","0008_Pass3441_USDJPY_VAL","3441","USDJPY","FX","VAL","2012.01.01","2018.01.01","ImpulseContinuation_EURUSD_Funded_Pass3441.set","reports\funded_cross_symbol\USDJPY_D1StopLossSplit_Funded_Pass3441_VAL_20120101_20180101.xml","reports\funded_cross_symbol\USDJPY_D1StopLossSplit_Funded_Pass3441_VAL_20120101_20180101.xml.htm"
"9","0009_Pass3441_USDJPY_OOS","3441","USDJPY","FX","OOS","2018.01.01","2026.06.01","ImpulseContinuation_EURUSD_Funded_Pass3441.set","reports\funded_cross_symbol\USDJPY_D1StopLossSplit_Funded_Pass3441_OOS_20180101_20260601.xml","reports\funded_cross_symbol\USDJPY_D1StopLossSplit_Funded_Pass3441_OOS_20180101_20260601.xml.htm"
"10","0010_Pass3441_EURJPY_IS","3441","EURJPY","FX","IS","2000.01.01","2012.01.01","ImpulseContinuation_EURUSD_Funded_Pass3441.set","reports\funded_cross_symbol\EURJPY_D1StopLossSplit_Funded_Pass3441_IS_20000101_20120101.xml","reports\funded_cross_symbol\EURJPY_D1StopLossSplit_Funded_Pass3441_IS_20000101_20120101.xml.htm"
